epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,970.272,1.09857,1.22854,1.34067,0.83872,0.79527,0.87136,0.54521,1.23266,0.88089,1.44093,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032
31,1001.27,1.08781,1.2133,1.33365,0.8873,0.74667,0.87128,0.54319,1.23052,0.90041,1.42389,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
32,1032.43,1.06392,1.16779,1.32567,0.86965,0.79877,0.8871,0.55212,1.21628,0.86829,1.4067,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034
33,1063.71,1.1119,1.20616,1.3312,0.82265,0.85204,0.87615,0.5394,1.25657,0.90828,1.41486,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
34,1096.35,1.09732,1.19129,1.33251,0.85723,0.85696,0.90778,0.55512,1.22553,0.828,1.40815,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036
35,1127.52,1.07514,1.17341,1.32657,0.86426,0.81942,0.89088,0.53683,1.28687,0.89482,1.45304,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
36,1158.9,1.09594,1.19126,1.33541,0.91971,0.77895,0.89729,0.54553,1.21942,0.88307,1.40672,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038
37,1190.95,1.07382,1.15224,1.33098,0.90837,0.82618,0.90478,0.55262,1.28526,0.82714,1.46618,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
38,1222.84,1.056,1.12196,1.31544,0.8676,0.86854,0.91547,0.5684,1.18473,0.83739,1.39055,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041
39,1253.86,1.05972,1.1432,1.32894,0.89306,0.87162,0.92548,0.57782,1.16803,0.79416,1.37337,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
40,1285.14,1.04491,1.13033,1.30981,0.85919,0.88956,0.9135,0.57605,1.20418,0.79662,1.4267,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043
41,1317.28,1.06984,1.12862,1.32399,0.89495,0.79726,0.89615,0.57238,1.17178,0.81358,1.35968,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
42,1348.59,1.04287,1.08363,1.30064,0.84893,0.86752,0.90905,0.57205,1.13698,0.79289,1.32768,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045
43,1379.86,1.06457,1.11181,1.31586,0.89376,0.82036,0.90882,0.57468,1.13347,0.76828,1.3349,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
44,1410.92,1.07811,1.1025,1.30924,0.89227,0.80144,0.90201,0.56302,1.20251,0.79901,1.39899,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047
45,1442.92,1.0576,1.08616,1.31439,0.86587,0.89854,0.91279,0.57361,1.13389,0.76169,1.33369,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
46,1474.59,1.0498,1.07431,1.30835,0.92525,0.87342,0.92387,0.58147,1.15599,0.74711,1.32674,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049
47,1506.26,1.05561,1.07803,1.31108,0.86795,0.89409,0.93102,0.58796,1.12058,0.75845,1.31923,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
48,1537.91,1.04424,1.06289,1.29529,0.89183,0.87395,0.91758,0.59115,1.12436,0.73786,1.33274,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052
49,1570.65,1.05121,1.08155,1.30612,0.89672,0.86888,0.9197,0.58173,1.12353,0.73493,1.32201,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
50,1602.08,1.04773,1.08192,1.30963,0.89399,0.86744,0.92985,0.59519,1.09708,0.76379,1.29951,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054
51,1633.63,1.0315,1.06449,1.30038,0.88063,0.86924,0.91825,0.58418,1.13473,0.76598,1.34789,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
52,1666.25,1.0273,1.03019,1.28326,0.86208,0.87687,0.9117,0.57066,1.16381,0.7362,1.34901,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056
53,1698.35,1.03726,1.05486,1.29711,0.91114,0.86977,0.92418,0.59191,1.10958,0.70378,1.31255,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
54,1730.23,1.00208,1.00856,1.26894,0.87993,0.87048,0.92129,0.58147,1.11414,0.72267,1.31635,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058
55,1761.93,1.0214,1.02671,1.28336,0.89212,0.8633,0.92092,0.57666,1.13428,0.74552,1.34903,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
56,1795.27,1.02557,1.02972,1.28981,0.93445,0.82191,0.92849,0.58527,1.13562,0.74732,1.33446,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606
57,1826.91,1.01366,1.00062,1.27596,0.88808,0.84367,0.91841,0.58476,1.12903,0.75327,1.32378,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
58,1858.95,1.02681,1.02667,1.2808,0.86558,0.85725,0.9219,0.59816,1.10618,0.73198,1.30058,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063
59,1892.06,1.01619,1.00728,1.27858,0.85433,0.88578,0.92215,0.59891,1.11477,0.71438,1.31564,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
60,1923.5,1.00981,1.00044,1.27039,0.90618,0.85035,0.92873,0.58873,1.13527,0.73274,1.32717,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065
61,1954.67,1.01583,0.99478,1.26442,0.86477,0.89346,0.92895,0.59407,1.12151,0.74391,1.33387,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
62,1986.24,1.02066,1.00806,1.28256,0.92096,0.81171,0.91582,0.59098,1.1039,0.76702,1.31598,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067
63,2019.06,0.99318,0.97223,1.26519,0.90327,0.8731,0.92744,0.5965,1.09501,0.73125,1.30264,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
64,2050.72,1.00568,0.98144,1.26981,0.88591,0.86407,0.92048,0.59324,1.10421,0.74409,1.30826,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069
65,2081.96,1.00479,0.97635,1.26708,0.8868,0.87362,0.92277,0.5878,1.1234,0.72659,1.29915,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
66,2114.06,1.00511,0.97813,1.26581,0.86704,0.89675,0.92911,0.58077,1.15423,0.71272,1.34884,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071
67,2146.28,0.98238,0.94696,1.24715,0.89807,0.87602,0.92715,0.59005,1.10725,0.70616,1.30309,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
68,2178.09,1.00322,0.96351,1.26485,0.89611,0.85278,0.93362,0.6081,1.07821,0.69428,1.2733,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074
69,2209.57,0.97759,0.93751,1.24537,0.89627,0.87083,0.92681,0.5967,1.06683,0.70175,1.26618,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
70,2242.66,1.00434,0.959,1.27478,0.91514,0.86871,0.93244,0.60458,1.05646,0.68847,1.25805,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076
71,2274.14,0.98262,0.94464,1.25521,0.90448,0.88081,0.93218,0.60177,1.09906,0.70138,1.29397,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
72,2305.7,0.98122,0.95149,1.25919,0.8699,0.88529,0.93106,0.60042,1.06247,0.69742,1.27123,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078
73,2337.57,0.99474,0.95137,1.26883,0.93018,0.84736,0.93434,0.60785,1.07797,0.69539,1.27866,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
74,2369.8,1.00803,0.95848,1.26832,0.93391,0.87326,0.94047,0.61857,1.08056,0.6932,1.28215,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808
75,2401.26,0.9866,0.94625,1.25179,0.89557,0.87846,0.93069,0.61544,1.05696,0.68117,1.26061,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
76,2432.56,0.97031,0.93696,1.24611,0.91764,0.85005,0.92775,0.60539,1.08671,0.67078,1.28563,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083
77,2465.65,0.98569,0.93958,1.25514,0.89991,0.8675,0.93575,0.6032,1.12175,0.68266,1.32209,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
78,2497.17,0.99172,0.9347,1.26084,0.91547,0.87464,0.94491,0.61824,1.05101,0.67951,1.26087,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085
79,2528.65,0.97795,0.94816,1.25987,0.91619,0.87263,0.93076,0.61362,1.07438,0.67265,1.28192,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
80,2560.12,0.98045,0.92258,1.2428,0.91225,0.84681,0.92834,0.60934,1.1201,0.69387,1.32904,0.000726261,0.000242087,0.000726261,0.000242087,0.000726261,0.000242087,0.000726261,0.000242087
81,2593,0.97615,0.91749,1.24809,0.89107,0.83717,0.91936,0.59616,1.11284,0.69502,1.3109,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
82,2624.51,0.96487,0.91711,1.24592,0.91719,0.84607,0.92959,0.60368,1.1173,0.68592,1.32769,0.000660267,0.000220089,0.000660267,0.000220089,0.000660267,0.000220089,0.000660267,0.000220089
83,2655.88,0.95889,0.91638,1.2443,0.91029,0.84395,0.9164,0.61395,1.06973,0.68223,1.28284,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909,0.000627271,0.00020909
84,2688.21,0.9756,0.93107,1.24276,0.91412,0.83619,0.91749,0.60592,1.09659,0.69061,1.2968,0.000594274,0.000198091,0.000594274,0.000198091,0.000594274,0.000198091,0.000594274,0.000198091
85,2720.25,0.98344,0.90809,1.2551,0.90594,0.85758,0.92703,0.61085,1.10348,0.68034,1.29765,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092,0.000561277,0.000187092
86,2751.79,0.95394,0.91256,1.24312,0.92487,0.84467,0.92472,0.60839,1.08202,0.68186,1.2779,0.000528281,0.000176094,0.000528281,0.000176094,0.000528281,0.000176094,0.000528281,0.000176094
87,2782.92,0.95634,0.91716,1.24305,0.87445,0.88731,0.92577,0.61676,1.07893,0.68487,1.28153,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095,0.000495284,0.000165095
88,2815.36,0.95248,0.9168,1.24061,0.90311,0.85857,0.92092,0.6111,1.06545,0.68419,1.27306,0.000462287,0.000154096,0.000462287,0.000154096,0.000462287,0.000154096,0.000462287,0.000154096
89,2847.13,0.97802,0.9156,1.25091,0.91182,0.83152,0.91775,0.60717,1.07884,0.68062,1.27347,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097,0.00042929,0.000143097
90,2878.67,0.96166,0.9016,1.23667,0.86538,0.88349,0.92498,0.61078,1.05274,0.66941,1.26509,0.000396294,0.000132098,0.000396294,0.000132098,0.000396294,0.000132098,0.000396294,0.000132098
91,2909.78,0.84229,0.8404,1.1591,0.91467,0.84444,0.9304,0.61005,1.05669,0.67737,1.26487,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
92,2939.2,0.8215,0.80309,1.14817,0.90111,0.86029,0.93442,0.61882,1.04053,0.6764,1.25241,0.0003303,0.0001101,0.0003303,0.0001101,0.0003303,0.0001101,0.0003303,0.0001101
93,2969.07,0.81761,0.79229,1.1462,0.88846,0.87829,0.93411,0.61672,1.04218,0.67115,1.2514,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05,0.000297304,9.91012e-05
94,2998.48,0.80534,0.7678,1.14324,0.89748,0.87408,0.93777,0.61683,1.03246,0.65592,1.24597,0.000264307,8.81023e-05,0.000264307,8.81023e-05,0.000264307,8.81023e-05,0.000264307,8.81023e-05
95,3027.4,0.82126,0.76266,1.16153,0.90257,0.87663,0.93764,0.62418,1.03774,0.65839,1.24963,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05,0.00023131,7.71034e-05
96,3056.55,0.79261,0.74997,1.12169,0.87153,0.91512,0.93967,0.62202,1.03127,0.65357,1.24477,0.000198314,6.61045e-05,0.000198314,6.61045e-05,0.000198314,6.61045e-05,0.000198314,6.61045e-05
97,3085.53,0.79902,0.76457,1.14182,0.87879,0.90185,0.93961,0.62402,1.03182,0.65893,1.24573,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05,0.000165317,5.51056e-05
98,3114.87,0.79726,0.75854,1.13621,0.90221,0.86701,0.93911,0.62223,1.03373,0.65958,1.24805,0.00013232,4.41067e-05,0.00013232,4.41067e-05,0.00013232,4.41067e-05,0.00013232,4.41067e-05
99,3144.19,0.79904,0.75556,1.13609,0.90627,0.86872,0.93679,0.62528,1.03333,0.65808,1.24752,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05,9.93234e-05,3.31078e-05
100,3173.62,0.80144,0.74841,1.13563,0.87169,0.89683,0.93706,0.62414,1.03337,0.65973,1.24642,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05,6.63267e-05,2.21089e-05
